YEAR,DOY,T2M,RH2M,WS2M,T2MDEW,avg_precip
2024,146,32.13,71.12,1.74,25.74,14.771831676369636
2024,147,29.87,83.3,5.74,26.58,58.65520778836999
2024,148,28.59,89.91,10.78,26.78,88.45474838421204
2024,149,28.54,87.68,4.93,26.24,16.642635824224307
2024,150,30.17,88.73,3.74,28.01,13.707395958318788
2024,151,30.15,87.55,3.75,27.76,12.308187580803462
2024,152,29.88,85.88,2.43,27.15,5.594799720340065
2024,153,29.93,82.96,2.38,26.5,6.93844917297692
2024,154,29.77,85.2,2.92,26.86,8.084848360458349
2024,155,28.98,87.21,2.66,26.54,14.234848251711865
2024,156,29.09,88.59,2.64,26.93,9.846730703566173
2024,157,29.82,84.05,1.67,26.64,6.270160337157952
2024,158,29.97,85.5,1.35,27.14,5.448629522341507
2024,159,30.35,83.17,1.54,26.95,10.5526197596859
2024,160,30.26,84.63,2.76,27.23,7.953865735932925
2024,161,29.4,91.17,2.75,27.78,10.158016378357015
2024,162,29.27,91.87,2.38,27.79,8.315666965933286
2024,163,29.35,88.3,2.58,27.15,8.629165003686259
2024,164,29.36,84.06,2.52,26.22,15.8436779718828
2024,165,29.41,87.87,3.18,27.09,23.05179898001154
2024,166,29.65,90.1,3.43,27.81,14.414604812438515
2024,167,29.92,88.83,3.68,27.8,23.132038938019473
2024,168,30.33,86.54,3.41,27.72,17.75844179253588
2024,169,29.56,89.87,3.31,27.67,35.59577631685647
2024,170,29.84,87.97,4.25,27.55,55.980604237683735
2024,171,28.87,92.86,3.89,27.6,54.73077603763036
2024,172,29.19,86.59,2.59,26.59,37.98777236897945
2024,173,29.36,83.97,0.94,26.2,9.255364004995672
2024,174,29.27,84.69,1.48,26.31,7.044772667431663
2024,175,29.81,83.77,1.81,26.59,5.315805863318067
2024,176,29.47,86.02,2.04,26.77,9.889675210928598
2024,177,29.47,86.08,1.96,26.8,8.455520915469528
2024,178,30.14,83.27,1.46,26.82,16.90823620385395
2024,179,28.8,88.89,2.93,26.73,11.842693520642985
2024,180,29.32,87.44,3.55,26.92,10.624125285924992
2024,181,28.98,90.22,3.11,27.17,23.579087167138116
2024,182,28.73,93.64,3.0,27.61,50.24531431752615
2024,183,28.12,93.74,3.45,27.03,80.45252235892535
2024,184,28.53,90.58,3.0,26.79,47.78095080724486
2024,185,28.37,90.05,3.31,26.53,25.762565077526144
2024,186,28.27,91.91,3.8,26.83,26.042942018419044
2024,187,28.85,90.01,3.41,27.01,29.137702182770646
2024,188,28.71,89.35,2.49,26.71,13.858263285394878
2024,189,29.25,88.19,1.8,27.0,11.222890065024162
2024,190,28.79,87.51,2.28,26.42,11.536573892378291
2024,191,29.31,87.83,2.49,26.98,13.144548905980526
2024,192,29.39,88.22,2.87,27.15,17.422583446021275
2024,193,29.26,89.42,3.11,27.28,39.46128822970105
2024,194,28.69,90.19,2.92,26.89,18.26455062120844
2024,195,29.25,85.51,1.49,26.41,7.098396947052289
2024,196,29.33,87.41,2.17,26.93,5.644590571799135
2024,197,29.05,89.07,2.86,26.99,15.905311585892896
2024,198,29.08,90.84,3.0,27.39,8.074038786772448
2024,199,28.9,88.36,1.85,26.74,10.026406178624956
2024,200,29.66,86.64,1.85,27.09,9.619949315478904
2024,201,29.41,87.98,3.73,27.13,8.369920483299314
